bill_id,9770090,9770356,9770372,9770414,9770450,9770456,9770527,9770587,9770598,9770602,9770676,9770679,9770712,9770719,9770723,9770725,9770741,9770742,9770752,9770753,9770755,9770764,9770767,9770768,9770770,9770774,9770779,9770784,9770786,9770808,9770811,9770812,9770813,9770826,9770835,9770836,9770837,9770839,9770846,9770852,9770858,9770859,9770864,9770869,9770871,9770872,9770876,9770878,9770881,9770883,9770886,9770905,9770911,9770912,9770914,9770926,9770927,9770929,9770931,9770932,9770933,9770934,9770936,9770941,9770944,9770950,9770951,9770952,9770954,9770956,9770962,9770963,9770966,9770967,9770968,9770973,9770975,9770977,9770980,9770981,9770982,9770984,9770985,9770986,9770990,9770991,9770995,9770996,9770997,9770998,9770999,9771000,9771001,9771002,9771003,9771006,9771007,9771008,9771009,9771010,9771012,9771015,9771017,9771023,9771024,9771028,9771030,9771032,9771037,9771038,9771041,9771058,9771060,9771068,9771089,9771090,9771091,9771092,9771093,9771094,9771098,9771103,9771106,9771107,9771108,9771109,9771110,9771111,9771112,9771113,9771114,9771115,9771116,9771117,9771118,9771119,9771120,9771121,9771122,9771123,9771125,9771126,9771127,9771128,9771129,9771130,9771132,9771133,9771134,9771135,9771136,9771137,9771138,9771139,9771140,9771141,9771142,9771143,9771144,9771145,9771146,9771147,9771148,9771149,9771150,9771151,9771152,9771153,9771154,9771155,9771156,9771157,9771158,9771159,9771160,9771161,9771162,9771163,9771164,9771165,9771166,9771167,9771168,9771169,9771170,9771171,9771172,9771173,9771174,9771175,9771176,9771177,9771178,9771179,9771180,9771181,9771182,9771183,9771184,9771185,9771186,9771187,9771188,9771189,9771190,9771191,9771192,9771193,9771194,9771195,9771196,9771197,9771198,9771199,9771200,9771201,9771202,9771203,9771204,9771205,9771206,9771207,9771208,9771209,9771210,9771211,9771212,9771213,9771214,9771215,9771216,9771217,9771218,9771219,9771220,9771221,9771223,9771224,9771225,9771226,9771227,9771228,9771229,9771230,9771231,9771232,9771233,9771234,9771235,9771236,9771237,9771238,9771239,9771240,9771241,9771242,9771243,9771244,9771245,9771246,9771247,9771248,9771249,9771250,9771251,9771252,9771253,9771254,9771255,9771256,9771257,9771258,9771259,9771260,9771261,9771262,9771263,9771264,9771266,9771267,9771268,9771269,9771270,9771271,9771272,9771273,9771274,9771275,9771276,9771277,9771278,9771279,9771280,9771281,9771282,9771283,9771284,9771285,9771286,9771287,9771288,9771289,9771290,9771291,9771292,9771293,9771294
PRC_X2N0Q1M1B2P5P1V0M3D1C3F2B5W9I7,1,1,1,1,1,1,1,1,,1,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,,1,1,1,1,1,1,1,1,0,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,
PRC_H2D0F1T1R2O5N1Q0Z5Z0L5F5S8V5C6,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,
PRC_Z2P0B1D1P2Z5N1M0P5K2V3N1G0T9A2,1,1,1,1,1,1,1,1,,1,1,1,1,0,1,,,1,1,1,1,1,0,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,1,1,1,1,0,0,1,1,1,1,,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,-1,-1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,-1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,0,1,0,0,1,1,0,1,1,-1,,,1,1,-1,1,1,1,1,1,1,1,1,-1,0,1,-1,1,1,-1,1,1,1,1,,-1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,,0,,1,1,1,1,1,1,,,,,,,
PRC_P2D0X1U1U2K5M1L0O4A9T3S9D0S0S3,1,1,1,1,1,1,1,1,,1,,1,1,,1,,,0,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,
PRC_E2T0O1K1V2L5K1G1Q1B5M5Q6K7F3B7,1,1,1,1,1,1,1,1,,1,1,-1,1,1,1,,,0,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,,1,,1,1,1,1,1,0,1,1,1,1,1,,1,1,1,1,-1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,-1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,0,0,,1,1,1,1,0,,,1,1,-1,1,1,1,1,-1,0,0,1,0,0,0,0,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,,,,,,,
PRC_Q2C0P1Y1D2M5T1K0V3Z4N1Z1T2K6K4,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,,,,,,,
PRC_N2H0Z1O1N2M5J1P0B3B6D1A0Z2C8G4,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,,1,1,1,1,-1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,1,,1,1,1,1,0,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,
PRC_Z2C0E1X1R2E7T1J6S0Y8C2W7D5M0G7,,1,,,,1,1,1,1,1,,,1,1,1,,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,,1,0,1,,1,,,1,1,1,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,1,,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,,,1,0,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,-1,,,1,,0,,1,1,,1,,,1,1,1,1,,,1,1,,0,1,1,1,1,1,1,1,1,,1,1,1,1,,1,0,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,-1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,-1,,,1,,1,,,,1,,1,,1,,1,-1,1,-1,-1,,,-1,1,1,1,1,1,1,0,,-1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,,,1,,,,,,,
PRC_O2T0A1E1C2G6M1K2V3E4C4U1E1W8M9,1,1,1,1,1,1,1,1,,1,1,1,1,0,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,1,,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,-1,1,,-1,0,1,,1,1,1,0,0,1,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,1,0,1,,0,,,1,1,-1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,0,1,1,,,,,,,
PRC_R2H0R1C1V2E5S1H1I1F1M5J8A8Z3Q0,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,1,1,1,1,1,1,1,,1,0,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,,1,1,,,,,,,
PRC_O2L0S1V1O2V5V1O1D1P0R0D4T2V0U5,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,,,1,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,,,,,,,
PRC_R2V0H1Z1S2W5A1V1A1X6L3G2F9L5W8,1,1,1,1,1,1,1,1,,1,1,1,1,0,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,,,,1,,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,,,0,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,,,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,,-1,0,1,1,1,0,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,,1,1,1,1,1,1,0,-1,1,1,1,0,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,,,,,,,
PRC_Z2X0H1E1O2Q5Q1U1W0O8N5J4Y4A7C4,1,1,1,1,-1,1,1,1,,1,1,-1,1,0,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,1,,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,,1,1,,1,0,1,1,1,1,1,0,1,1,,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,,0,,,1,1,1,1,0,1,0,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,,,,,,,
PRC_X2G0F1V1D2V5J1B1U0N1T0I7J3E6V4,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,1,1,,,,1,,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,,1,1,0,1,1,0,1,1,0,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,1,0,1,,1,,,1,1,1,1,1,1,1,-1,1,0,1,1,0,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,,,,,,,
PRC_V2Q0Q1J1U2M5J1C3I1K7Z4E5P9Z9N8,1,1,1,1,1,1,1,1,,1,1,0,1,1,1,,1,,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,,,,,,,
PRC_R2I0P1D1I2Y5K1J1V0S6E4C4C4F6T9,1,1,1,1,0,1,1,1,,1,,0,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,,,,1,,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,0,1,1,,,,,,,
PRC_Y2S0N1D1O2I5E1W0I3J6W1S5A9V3G2,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,,,,,,
PRC_W2L0P1M2K0R1U1G4O0M3S0F2P1A4E0,1,1,1,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,,1,1,1,1,,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,,,,,,,
PRC_N2N0C1O1G2J6G1A5I1M1I1R8U8Z7G7,1,1,1,1,1,1,1,1,,0,,-1,1,0,1,1,,0,1,1,1,1,,,1,1,1,1,1,1,1,-1,1,1,1,1,0,1,1,1,,,1,,1,,1,,1,,1,1,1,-1,1,,1,1,1,1,,1,,1,-1,1,1,1,,0,0,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,,1,,0,1,0,,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1,-1,1,1,0,-1,1,1,1,1,,,0,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,1,-1,,1,,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,1,0,1,1,1,1,1,0,1,,1,,,1,1,1,1,0,0,0,-1,1,-1,1,0,0,0,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,0,1,1,,,,,,,
PRC_W2Y0N1J1K2V5S1M3G4G4I1E7T1Z6T1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,,1,1,,,,1,,1,,1,1,1,0,1,,1,1,1,1,1,1,1,1,0,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,0,1,,1,,,,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,0,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,,1,1,1,1,1,,1,,,1,1,,1,1,1,0,1,1,1,1,1,0,-1,1,1,,0,1,1,1,1,,-1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,-1,-1,1,1,,1,1,1,1,1,1,,,,,,,
